NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
32,32,32,30,1,0,1,1,hopper003,86.85 MB,29.9501,2.40975
32,32,32,30,1,0,1,2,hopper003,88.90 MB,30.0255,2.78201
32,32,32,30,1,0,1,3,hopper003,87.01 MB,29.9,2.99158
32,32,32,30,1,0,1,4,hopper003,87.12 MB,30.0031,3.03929
32,32,32,30,1,0,1,5,hopper003,87.18 MB,29.9144,3.13703
32,32,32,30,1,0,1,6,hopper003,87.27 MB,29.8203,3.23757
32,32,32,30,1,0,1,7,hopper003,89.30 MB,29.8359,3.24968
32,32,32,30,1,0,1,8,hopper003,87.42 MB,29.9884,3.28866
32,32,32,30,1,0,1,9,hopper003,87.37 MB,29.9973,3.23672
32,32,32,30,1,0,1,10,hopper003,91.47 MB,30.1472,3.26063
32,32,32,30,1,0,1,11,hopper003,93.52 MB,30.1223,3.29666
32,32,32,30,1,0,1,12,hopper003,89.58 MB,30.0075,3.34223
32,32,32,30,1,0,1,13,hopper003,89.63 MB,30.0641,3.23085
32,32,32,30,1,0,1,14,hopper003,93.71 MB,30.0828,3.35251
32,32,32,30,1,0,1,15,hopper003,89.72 MB,29.8888,3.34012
32,32,32,30,1,0,1,16,hopper003,91.80 MB,30.0239,3.36128
32,32,32,30,1,0,1,17,hopper003,0.00 MB (estimated maximum),23.3239,2.79132
32,32,32,30,1,0,1,18,hopper003,89.89 MB,29.1091,3.20103
32,32,32,30,1,0,1,19,hopper003,93.92 MB,30.0231,3.25078
32,32,32,30,1,0,1,20,hopper003,0.00 MB (estimated maximum),27.3973,3.20669
32,32,32,30,1,0,1,21,hopper003,0.00 MB (estimated maximum),27.2967,3.27664
32,32,32,30,1,0,1,22,hopper003,90.15 MB,30.0454,3.26735
32,32,32,30,1,0,1,23,hopper003,94.10 MB,30.039,3.3001
32,32,32,30,1,0,1,24,hopper003,92.25 MB,29.9867,3.23476
32,32,32,30,1,0,1,25,hopper003,90.19 MB,30.0806,3.24812
32,32,32,30,1,0,1,26,hopper003,94.28 MB,29.7818,3.19763
32,32,32,30,1,0,1,27,hopper003,92.36 MB,30.131,3.16962
32,32,32,30,1,0,1,28,hopper003,0.00 MB (estimated maximum),25.9453,3.13773
32,32,32,30,1,0,1,29,hopper003,94.45 MB,29.9605,3.16271
32,32,32,30,1,0,1,30,hopper003,92.45 MB,29.5608,3.18564
32,32,32,30,1,0,1,31,hopper003,90.51 MB,30.0441,3.21856
32,32,32,30,1,0,1,32,hopper003,92.56 MB,29.9885,3.12884
32,32,32,30,1,0,2,1,hopper003,149.88 MB (estimated maximum),30.2489,3.67773
32,32,32,30,1,0,2,2,hopper003,149.95 MB (estimated maximum),30.2258,4.31648
32,32,32,30,1,0,2,3,hopper003,150.32 MB (estimated maximum),30.0858,4.54224
32,32,32,30,1,0,2,4,hopper003,154.38 MB (estimated maximum),30.1763,4.70868
