NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,SLURM_JOB_NODELIST,TIME,GFLOPS
16,16,16,30,2,2,1,hopper[055 058],20.4547,2.90929
32,32,32,30,2,2,1,hopper[052 055],18.0218,22.1895
48,48,48,30,2,2,1,hopper[053 055],21.9102,55.2937
64,64,64,30,2,2,1,hopper[053 055],19.7126,138.008
80,80,80,30,2,2,1,hopper[053 055],24.2594,189.497
96,96,96,30,2,2,1,hopper[053 055],27.6048,253.058
112,112,112,30,2,2,1,hopper[053 055],29.3891,306.846
128,128,128,30,2,2,1,hopper[053 055],29.701,401.22
144,144,144,30,2,2,1,hopper[053 055],30.2155,361.826
160,160,160,30,2,2,1,hopper[053 055],30.1892,380.242
176,176,176,30,2,2,1,hopper[053 055],30.1841,395.385
192,192,192,30,2,2,1,hopper[053 055],30.4398,391.573
208,208,208,30,2,2,1,hopper[053 055],30.8005,406.827
224,224,224,30,2,2,1,hopper[053 055],30.2871,408.653
240,240,240,30,2,2,1,hopper[052-053],30.9867,425.94
256,256,256,30,2,2,1,hopper[052-053],30.5022,484.912
