NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
16,16,16,30,2,0,8,2,hopper[005-006],30.0002,10.538
32,32,32,30,2,0,8,2,hopper[005-006],31.146,15.9399
48,48,48,30,2,0,8,2,hopper[005-006],30.206,16.5545
64,64,64,30,2,0,8,2,hopper[005-006],30.4705,17.4007
80,80,80,30,2,0,8,2,hopper[005-006],33.5529,17.7251
96,96,96,30,2,0,8,2,hopper[005-006],43.3116,17.8266
112,112,112,30,2,0,8,2,hopper[005-006],45.3258,18.059
128,128,128,30,2,0,8,2,hopper[005-006],33.4989,18.1875
144,144,144,30,2,0,8,2,hopper[005-006],46.6977,18.6505
144,144,144,30,2,0,8,2,hopper[008-009],46.4574,18.7439
160,160,160,30,2,0,8,2,hopper[008-009],63.3114,18.875
176,176,176,30,2,0,8,2,hopper[008-009],83.7033,19.0146
192,192,192,30,2,0,8,2,hopper[008-009],105.948,19.5001
208,208,208,30,2,0,8,2,hopper[008-009],152.55,17.2676
224,224,224,30,2,0,8,2,hopper[008-009],191.176,17.2148
