NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
16,16,16,30,1,0,1,1,hopper005,28.663,2.11425
32,32,32,30,1,0,1,1,hopper006,29.9106,2.41416
48,48,48,30,1,0,1,1,hopper005,30.5902,1.62617
64,64,64,30,1,0,1,1,hopper006,30.3712,1.51526
80,80,80,30,1,0,1,1,hopper005,31.0141,1.46139
96,96,96,30,1,0,1,1,hopper006,32.2505,1.46403
112,112,112,30,1,0,1,1,hopper005,34.6966,1.44602
128,128,128,30,1,0,1,1,hopper006,51.3978,1.46025
144,144,144,30,1,0,1,1,hopper005,37.0314,1.44615
160,160,160,30,1,0,1,1,hopper006,50.4289,1.45848
176,176,176,30,1,0,1,1,hopper005,67.9595,1.44278
192,192,192,30,1,0,1,1,hopper006,86.886,1.46607
208,208,208,30,1,0,1,1,hopper005,112.222,1.44502
224,224,224,30,1,0,1,1,hopper006,139.276,1.45493
240,240,240,30,1,0,1,1,hopper005,173.942,1.43468
256,256,256,30,1,0,1,1,hopper006,207.135,1.46201
