NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
64,64,64,30,1,0,1,1,hopper004,30.0165,1.53253
64,64,64,30,1,0,1,2,hopper010,31.2633,1.7636
64,64,64,30,1,0,1,3,hopper004,31.0053,1.92152
64,64,64,30,1,0,1,4,hopper010,31.4831,1.89593
64,64,64,30,1,0,1,5,hopper004,31.1983,2.05665
64,64,64,30,1,0,1,6,hopper010,31.7096,2.02609
64,64,64,30,1,0,1,7,hopper004,30.5274,2.10272
64,64,64,30,1,0,1,8,hopper010,31.17,2.0612
64,64,64,30,1,0,1,9,hopper004,30.4924,2.10624
64,64,64,30,1,0,1,10,hopper010,31.4015,2.04733
64,64,64,30,1,0,1,11,hopper004,30.3213,2.1183
64,64,64,30,1,0,1,12,hopper010,31.157,2.06374
64,64,64,30,1,0,1,13,hopper004,30.0845,2.13486
64,64,64,30,1,0,1,14,hopper010,30.658,2.09685
64,64,64,30,1,0,1,15,hopper004,30.1923,2.128
64,64,64,30,1,0,1,16,hopper010,30.9906,2.07522
64,64,64,30,1,0,1,17,hopper004,30.0556,2.09387
64,64,64,30,1,0,1,18,hopper010,30.7675,1.95854
64,64,64,30,1,0,1,19,hopper004,30.392,2.05741
64,64,64,30,1,0,1,20,hopper010,30.8774,2.04733
64,64,64,30,1,0,1,21,hopper004,30.0327,2.12902
64,64,64,30,1,0,1,22,hopper010,30.7159,2.08318
64,64,64,30,1,0,1,24,hopper010,30.3926,2.07738
64,64,64,30,1,0,1,23,hopper004,33.6939,1.63592
64,64,64,30,1,0,1,25,hopper004,29.7605,2.14611
64,64,64,30,1,0,1,26,hopper010,30.6571,2.06372
64,64,64,30,1,0,1,27,hopper004,30.3953,2.09735
64,64,64,30,1,0,1,28,hopper010,30.7669,2.07297
64,64,64,30,1,0,1,29,hopper004,29.7734,2.14119
64,64,64,30,1,0,1,30,hopper010,31.2208,2.03278
64,64,64,30,1,0,1,31,hopper004,30.7178,2.07628
64,64,64,30,1,0,1,32,hopper010,31.3102,2.04031
64,64,64,30,1,0,2,2,hopper010,30.4433,3.34401
64,64,64,30,1,0,2,1,hopper004,32.0752,2.88914
64,64,64,30,1,0,2,3,hopper004,30.6232,3.61886
64,64,64,30,1,0,2,4,hopper010,31.043,3.57543
64,64,64,30,1,0,2,5,hopper004,32.0428,3.75081
64,64,64,30,1,0,2,6,hopper010,32.2646,3.72814
64,64,64,30,1,0,2,7,hopper004,31.8549,3.77594
64,64,64,30,1,0,2,8,hopper010,32.055,3.7542
64,64,64,30,1,0,2,9,hopper004,31.6297,3.7943
64,64,64,30,1,0,2,10,hopper010,30.0134,3.53819
64,64,64,30,1,0,2,12,hopper010,31.1197,3.51504
64,64,64,30,1,0,2,11,hopper004,30.9407,2.9674
64,64,64,30,1,0,2,13,hopper004,30.8446,3.58074
64,64,64,30,1,0,2,14,hopper010,31.2939,2.93963
64,64,64,30,1,0,2,16,hopper010,31.4091,3.76275
64,64,64,30,1,0,2,15,hopper004,31.8399,3.19485
