NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
12,12,12,30,50,0,7,1,wheeler[001 009 014-023 025-026 028-029 038-042 047-050 068-070 087-088 094-096 098-102 126-128 138-141 150-152 169-170],34.13 GB (estimated maximum),32.6635,96.6115
12,12,12,30,50,0,8,1,wheeler[001 009 014-023 025-026 028-029 038-042 047-050 068-070 087-088 094-096 098-102 126-128 138-141 150-152 169-170],37.49 GB (estimated maximum),30.7903,99.2573
4,4,4,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],37.38 GB (estimated maximum),31.6912,98.3857
6,6,6,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],37.95 GB (estimated maximum),30.8621,99.9906
8,8,8,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],37.66 GB (estimated maximum),30.9259,100.038
10,10,10,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],38.06 GB (estimated maximum),30.9733,99.6522
12,12,12,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],37.35 GB (estimated maximum),30.259,100.961
32,32,32,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],45.96 GB (estimated maximum),32.0683,177.531
48,48,48,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],71.08 GB (estimated maximum),30.3618,186.43
64,64,64,30,50,0,8,1,wheeler[014-023 025-026 033 038-042 045-050 062-065 067-070 090-092 094-096 098-102 126-128 138-141],118.91 GB (estimated maximum),43.0971,178.6
