NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
16,16,16,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],4.70 GB (estimated maximum),27.8431,25.3902
32,32,32,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],5.97 GB (estimated maximum),31.7472,30.0426
48,48,48,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],9.51 GB (estimated maximum),30.7042,29.1887
64,64,64,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],16.21 GB (estimated maximum),36.2037,29.5757
80,80,80,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],27.87 GB (estimated maximum),37.0619,28.2833
96,96,96,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],43.73 GB (estimated maximum),31.6466,28.6478
112,112,112,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],66.50 GB (estimated maximum),50.351,28.6181
128,128,128,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],97.38 GB (estimated maximum),92.3604,23.3818
144,144,144,30,8,0,7,1,wheeler[033 076 088 106 109 126-127 169],140.75 GB (estimated maximum),151.795,20.2865
160,160,160,30,8,0,7,1,wheeler[017 019 021 025 041-042 058 070],190.37 GB (estimated maximum),180.872,23.3593
176,176,176,30,8,0,7,1,wheeler[016 018 022 026 029 038-039 116],250.72 GB (estimated maximum),237.194,23.7054
