NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
4,4,4,30,5,0,8,1,wheeler[018-019 045-046 100],2.83 GB (estimated maximum),27.2243,20.4116
4,4,4,30,10,0,8,1,wheeler[016-023 045-046],7.20 GB (estimated maximum),27.7696,30.1406
8,8,8,30,5,0,8,1,wheeler[047-050 100],2.56 GB (estimated maximum),27.429,20.3599
8,8,8,30,10,0,8,1,wheeler[014-023],7.12 GB (estimated maximum),27.6924,30.6121
12,12,12,30,10,0,8,1,wheeler[014-023],7.39 GB (estimated maximum),27.5754,31.0388
12,12,12,30,5,0,8,1,wheeler[045-049],3.21 GB (estimated maximum),27.5355,20.4658
16,16,16,30,10,0,8,1,wheeler[014-023],7.05 GB (estimated maximum),26.7817,30.5701
16,16,16,30,5,0,8,1,wheeler[045-049],3.12 GB (estimated maximum),27.1894,20.3253
24,24,24,30,5,0,8,1,wheeler[019-023],2.96 GB (estimated maximum),19.1496,20.8716
32,32,32,30,5,0,8,1,wheeler[045-049],4.09 GB (estimated maximum),29.7828,21.2566
40,40,40,30,5,0,8,1,wheeler[019-023],4.97 GB (estimated maximum),30.7032,21.0886
48,48,48,30,5,0,8,1,wheeler[045-049],6.66 GB (estimated maximum),30.3965,21.1106
56,56,56,30,5,0,8,1,wheeler[019-023],8.71 GB (estimated maximum),30.3709,21.0194
64,64,64,30,5,0,8,1,wheeler[045-049],11.48 GB (estimated maximum),37.1721,20.5637
72,72,72,30,5,0,8,1,wheeler[019-023],14.94 GB (estimated maximum),39.8353,20.5336
24,24,24,30,10,0,8,1,wheeler[014-023],7.47 GB (estimated maximum),21.28,37.6227
80,80,80,30,5,0,8,1,wheeler[045-049],19.84 GB (estimated maximum),36.5272,20.4939
32,32,32,30,10,0,8,1,wheeler[014-023],8.84 GB (estimated maximum),31.4393,40.4419
40,40,40,30,10,0,8,1,wheeler[014-023],10.99 GB (estimated maximum),29.7263,40.2632
88,88,88,30,5,0,8,1,wheeler[045-049],24.65 GB (estimated maximum),51.8719,19.2297
96,96,96,30,5,0,8,1,wheeler[019-023],31.20 GB (estimated maximum),31.2866,20.7076
48,48,48,30,10,0,8,1,wheeler[014-017 045-050],14.02 GB (estimated maximum),31.3985,40.9652
56,56,56,30,10,0,8,1,wheeler[014-023],18.26 GB (estimated maximum),31.2668,40.9381
4,4,4,30,15,0,8,1,wheeler[014-023 045-049],10.86 GB (estimated maximum),28.5018,38.1971
8,8,8,30,15,0,8,1,wheeler[014-023 045-049],10.99 GB (estimated maximum),28.2982,37.8703
12,12,12,30,15,0,8,1,wheeler[014-023 045-049],10.90 GB (estimated maximum),27.8169,38.2439
16,16,16,30,15,0,8,1,wheeler[014-023 045-049],10.79 GB (estimated maximum),28.009,38.2403
64,64,64,30,10,0,8,1,wheeler[014-023],23.73 GB (estimated maximum),37.0927,41.3115
4,4,4,30,20,0,8,1,wheeler[001 009 014-023 045-050 100-101],14.65 GB (estimated maximum),28.6021,50.4821
8,8,8,30,20,0,8,1,wheeler[001 009 014-023 045-050 100-101],14.61 GB (estimated maximum),28.6942,50.1879
12,12,12,30,20,0,8,1,wheeler[001 009 014-023 045-050 100-101],15.08 GB (estimated maximum),28.7791,50.479
24,24,24,30,15,0,8,1,wheeler[014-023 045-049],11.07 GB (estimated maximum),22.8288,52.8595
32,32,32,30,15,0,8,1,wheeler[014-023 045-049],13.67 GB (estimated maximum),30.2917,58.2023
40,40,40,30,15,0,8,1,wheeler[014-023 045-049],16.73 GB (estimated maximum),28.2329,59.2386
72,72,72,30,10,0,8,1,wheeler[001 009 045-050 100-101],30.76 GB (estimated maximum),39.5895,41.3938
