NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
4,4,4,30,1,0,2,1,wheeler097,28.9931,2.77625
8,8,8,30,1,0,2,1,wheeler097,30.2862,2.81183
12,12,12,30,1,0,2,1,wheeler097,30.4128,2.82306
16,16,16,30,1,0,2,1,wheeler097,30.2834,2.82374
24,24,24,30,1,0,2,1,wheeler010,30.4194,2.06996
32,32,32,30,1,0,2,1,wheeler097,30.3941,1.85055
40,40,40,30,1,0,2,1,wheeler010,31.041,1.79689
48,48,48,30,1,0,2,1,wheeler097,30.9999,1.75457
56,56,56,30,1,0,2,1,wheeler010,32.2241,1.7349
64,64,64,30,1,0,2,1,wheeler097,32.6407,1.71046
4,4,4,30,2,0,1,1,wheeler[010 115],27.2476,2.63845
8,8,8,30,2,0,1,1,wheeler[097 123],26.4365,2.62534
12,12,12,30,2,0,1,1,wheeler[010 115],27.9462,2.70397
16,16,16,30,2,0,1,1,wheeler[097 123],27.5674,2.69317
24,24,24,30,2,0,1,1,wheeler[010 097],29.8284,2.86675
32,32,32,30,2,0,1,1,wheeler[115 123],30.1269,2.53058
40,40,40,30,2,0,1,1,wheeler[010 097],29.4267,2.53885
48,48,48,30,2,0,1,1,wheeler[115 123],30.5828,2.50932
56,56,56,30,2,0,1,1,wheeler[010 097],29.7348,2.47554
64,64,64,30,2,0,1,1,wheeler[115 123],30.1485,2.44193
