NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
64,64,64,30,1,0,1,1,wheeler044,29.7672,1.23006
64,64,64,30,1,0,1,2,wheeler044,31.7337,1.30567
64,64,64,30,1,0,1,3,wheeler044,32.4582,1.27949
64,64,64,30,1,0,1,4,wheeler044,31.5614,1.17411
64,64,64,30,1,0,1,5,wheeler044,29.655,1.19539
64,64,64,30,1,0,1,6,wheeler044,30.4105,1.3218
64,64,64,30,1,0,1,7,wheeler044,30.2988,1.21912
64,64,64,30,1,0,1,8,wheeler044,32.1909,1.14847
64,64,64,30,1,0,2,1,wheeler044,32.3344,1.72717
64,64,64,30,1,0,2,2,wheeler044,32.1572,1.74469
64,64,64,30,1,0,2,3,wheeler044,30.0642,2.15649
64,64,64,30,1,0,2,4,wheeler044,30.1778,2.15565
64,64,64,30,1,0,3,1,wheeler044,34.4128,2.0414
64,64,64,30,1,0,3,2,wheeler044,34.7336,2.41834
64,64,64,30,1,0,4,1,wheeler044,34.5259,2.1883
64,64,64,30,1,0,4,2,wheeler044,30.0811,3.12203
64,64,64,30,1,0,5,1,wheeler044,49.6474,1.891
64,64,64,30,1,0,6,1,wheeler044,38.4622,2.20309
64,64,64,30,1,0,7,1,wheeler044,34.986,3.77417
64,64,64,30,1,0,8,1,wheeler044,35.1408,4.32587
64,64,64,30,2,0,1,1,wheeler[026 127],30.2951,2.42959
64,64,64,30,2,0,1,2,wheeler[026 127],33.5283,2.48765
64,64,64,30,2,0,1,3,wheeler[026 127],30.1021,2.46884
64,64,64,30,2,0,1,4,wheeler[026 127],31.9366,2.33011
64,64,64,30,2,0,1,5,wheeler[026 127],31.7454,2.3375
64,64,64,30,2,0,1,6,wheeler[026 127],29.1482,2.54471
64,64,64,30,2,0,1,7,wheeler[026 127],31.2918,2.37541
64,64,64,30,2,0,1,8,wheeler[026 127],29.3455,2.21909
64,64,64,30,2,0,2,2,wheeler[026 127],32.6752,3.45439
64,64,64,30,2,0,2,3,wheeler[018 026],26.4904,4.20384
64,64,64,30,2,0,2,4,wheeler[018 026],34.1794,3.30451
64,64,64,30,2,0,2,1,wheeler[018 026],32.6589,3.43861
64,64,64,30,2,0,3,1,wheeler[018 026],34.5063,4.09337
64,64,64,30,2,0,3,2,wheeler[018 026],35.9137,4.70637
64,64,64,30,3,0,1,1,wheeler[161-163],30.6362,3.61064
64,64,64,30,3,0,1,3,wheeler[127 167-168],30.5807,3.64384
64,64,64,30,2,0,4,2,wheeler[092-093],32.611,4.66264
64,64,64,30,3,0,1,2,wheeler[164-166],33.5291,3.73674
64,64,64,30,2,0,4,1,wheeler[090-091],35.1069,4.33046
64,64,64,30,2,0,7,1,wheeler[157-158],35.3083,7.51478
64,64,64,30,2,0,8,1,wheeler[159-160],36.2797,8.4037
64,64,64,30,2,0,5,1,wheeler[153-154],35.2027,5.29061
64,64,64,30,2,0,6,1,wheeler[155-156],26.5315,4.28337
64,64,64,30,3,0,1,5,wheeler[161-163],32.3246,3.45099
64,64,64,30,3,0,1,4,wheeler[011 018 026],32.0587,3.49178
64,64,64,30,3,0,1,6,wheeler[127 167-168],34.0059,3.21396
64,64,64,30,3,0,1,8,wheeler[090-092],29.0093,3.37086
64,64,64,30,3,0,1,7,wheeler[164-166],32.6264,3.42739
64,64,64,30,3,0,2,1,wheeler[093 157-158],33.8905,4.98194
64,64,64,30,3,0,2,2,wheeler[153-154 159],32.8854,5.15633
64,64,64,30,3,0,2,3,wheeler[155-156 160],33.1024,5.90054
64,64,64,30,3,0,2,4,wheeler[161-163],30.5099,5.545
64,64,64,30,3,0,3,2,wheeler[127 167-168],28.7984,7.33473
64,64,64,30,3,0,3,1,wheeler[011 018 026],34.7195,6.11216
64,64,64,30,3,0,4,2,wheeler[164-166],33.7067,8.43826
64,64,64,30,3,0,4,1,wheeler[090-092],35.2747,6.47453
64,64,64,30,3,0,7,1,wheeler[155-156 160],35.5373,11.2202
64,64,64,30,4,0,1,4,wheeler[011 018 167-168],32.3338,4.62935
64,64,64,30,4,0,1,5,wheeler[026 164-166],30.4087,4.1783
64,64,64,30,4,0,1,6,wheeler[090-092 127],31.7018,4.03106
64,64,64,30,3,0,5,1,wheeler[093 157-158],39.0596,3.65592
64,64,64,30,3,0,6,1,wheeler[153-154 159],33.0803,5.18435
64,64,64,30,3,0,8,1,wheeler[161-163],44.3498,7.79808
64,64,64,30,4,0,1,7,wheeler[155-156 167-168],32.4576,4.60854
64,64,64,30,4,0,1,8,wheeler[011 164-166],31.0185,4.22967
64,64,64,30,4,0,2,3,wheeler[026 093 157-158],33.3017,7.85827
64,64,64,30,4,0,2,2,wheeler[018 090-092],33.2583,6.82801
64,64,64,30,4,0,2,4,wheeler[153-154 159-160],28.7156,6.58799
64,64,64,30,4,0,3,2,wheeler[127 161-163],34.5004,8.21704
64,64,64,30,4,0,4,2,wheeler[011 164-166],35.2044,8.67015
64,64,64,30,4,0,4,1,wheeler[155-156 167-168],35.4027,8.60337
64,64,64,30,4,0,6,1,wheeler[018 090-092],35.4853,12.8802
64,64,64,30,4,0,7,1,wheeler[153-154 159-160],36.4791,14.6476
64,64,64,30,4,0,5,1,wheeler[026 093 157-158],40.7591,4.69002
64,64,64,30,5,0,1,2,wheeler[164-168],31.4542,5.91768
64,64,64,30,5,0,1,3,wheeler[090-092 155-156],30.9691,6.01578
64,64,64,30,5,0,1,4,wheeler[011 153-154 159-160],31.725,5.88122
64,64,64,30,4,0,8,1,wheeler[127 161-163],43.8213,10.5249
64,64,64,30,5,0,1,6,wheeler[164-168],30.3425,5.23394
64,64,64,30,5,0,1,5,wheeler[015 018 026 157-158],33.6009,5.34784
64,64,64,30,5,0,1,7,wheeler[025 090-093],30.787,5.31334
64,64,64,30,5,0,1,8,wheeler[011 153-156],30.6541,5.33197
64,64,64,30,5,0,2,1,wheeler[159-163],33.6029,8.38786
64,64,64,30,5,0,2,2,wheeler[164-168],33.056,8.5585
64,64,64,30,5,0,2,3,wheeler[015 026-027 157-158],31.1826,10.5081
64,64,64,30,5,0,2,4,wheeler[018 090-093],29.5125,9.56365
64,64,64,30,4,0,1,1,wheeler[159-162],30.79,4.81138
64,64,64,30,5,0,3,1,wheeler[011 153-156],35.629,9.94457
64,64,64,30,4,0,1,2,wheeler[163-166],30.7645,4.85334
64,64,64,30,4,0,1,3,wheeler[025 127 167-168],32.1333,4.65779
64,64,64,30,4,0,2,1,wheeler[026-027 157-158],34.905,6.4783
64,64,64,30,4,0,3,1,wheeler[090-093],35.2452,8.066
64,64,64,30,5,0,1,1,wheeler[015 159-162],30.7992,5.99465
64,64,64,30,5,0,3,2,wheeler[011 153-156],37.2116,9.51619
64,64,64,30,5,0,4,1,wheeler[018 163-166],35.5749,10.7102
64,64,64,30,5,0,4,2,wheeler[025-027 157-158],35.5614,10.7323
64,64,64,30,5,0,7,1,wheeler[011 153-156],35.7864,18.5986
64,64,64,30,5,0,5,1,wheeler[090-093 127],35.7519,6.65705
64,64,64,30,5,0,6,1,wheeler[015 159-162],37.016,7.7527
64,64,64,30,6,0,1,1,wheeler[018 025-027 157-158],30.9719,7.18654
64,64,64,30,5,0,8,1,wheeler[163-167],33.6724,11.4427
64,64,64,30,6,0,1,2,wheeler[011 153-156 168],32.3381,6.94172
64,64,64,30,6,0,1,3,wheeler[014 090-093 127],31.3275,7.16745
64,64,64,30,6,0,1,4,wheeler[157-162],31.986,7.03994
64,64,64,30,6,0,1,5,wheeler[015 163-167],31.6082,6.03537
64,64,64,30,6,0,1,7,wheeler[011 014 090-093],29.6093,6.64981
64,64,64,30,6,0,1,6,wheeler[025-026 153-156],44.6986,4.97555
64,64,64,30,6,0,1,8,wheeler[157-162],31.4911,6.2608
64,64,64,30,6,0,2,1,wheeler[163-168],35.3781,9.60574
64,64,64,30,6,0,2,2,wheeler[011-012 090-093],33.3489,10.2298
64,64,64,30,6,0,2,4,wheeler[018 025-027 031 127],34.9798,9.76017
64,64,64,30,6,0,2,3,wheeler[014-015 153-156],35.3306,9.58119
64,64,64,30,6,0,3,2,wheeler[157-162],43.2181,9.90727
64,64,64,30,6,0,4,2,wheeler[163-168],31.4608,14.5397
64,64,64,30,6,0,7,1,wheeler[014-015 153-156],36.2987,22.0127
64,64,64,30,6,0,5,1,wheeler[011-012 090-093],37.5312,7.64708
64,64,64,30,6,0,6,1,wheeler[018 025-027 031 127],64.7478,10.7096
64,64,64,30,6,0,8,1,wheeler[157-162],39.0378,23.5409
64,64,64,30,7,0,1,3,wheeler[014 163-168],30.8565,8.45665
64,64,64,30,7,0,1,4,wheeler[090-093 153-155],31.8292,8.21994
64,64,64,30,7,0,1,5,wheeler[011-012 015 018 025-027],30.9195,7.15789
64,64,64,30,7,0,1,6,wheeler[156-162],37.1652,6.07828
64,64,64,30,7,0,1,7,wheeler[014 163-168],30.7281,7.45731
64,64,64,30,7,0,1,8,wheeler[090-093 153-155],31.788,7.21164
64,64,64,30,7,0,2,2,wheeler[011-012 015 018 025-027],33.0678,11.9945
64,64,64,30,7,0,2,3,wheeler[156-162],30.7856,12.7392
64,64,64,30,7,0,2,4,wheeler[014 163-168],30.933,10.7101
64,64,64,30,7,0,3,1,wheeler[090-093 153-155],35.8376,13.8454
64,64,64,30,7,0,3,2,wheeler[011-012 015 018 025-027],29.2989,16.8199
64,64,64,30,7,0,4,1,wheeler[156-162],35.5187,15.0304
64,64,64,30,7,0,4,2,wheeler[014 163-168],34.0811,15.681
64,64,64,30,6,0,3,1,wheeler[011-012 015 025-027],35.4018,12.056
64,64,64,30,6,0,4,1,wheeler[156-161],35.4074,12.9275
64,64,64,30,7,0,5,1,wheeler[090-093 153-155],38.3787,8.69786
64,64,64,30,7,0,1,1,wheeler[162-168],30.9023,8.3803
64,64,64,30,7,0,1,2,wheeler[011-012 014-015 025-027],31.8185,8.19519
64,64,64,30,7,0,2,1,wheeler[018 156-161],34.9237,11.3082
64,64,64,30,7,0,7,1,wheeler[162-168],35.4353,19.8145
64,64,64,30,7,0,8,1,wheeler[011-012 014-015 025-027],36.4603,29.381
64,64,64,30,7,0,6,1,wheeler[090-093 153-155],40.0533,10.0455
64,64,64,30,8,0,1,1,wheeler[018 031 156-161],30.9801,9.61945
64,64,64,30,8,0,1,2,wheeler[127 162-168],32.6345,9.21336
64,64,64,30,8,0,1,3,wheeler[011 025-027 090-093],31.5258,9.54457
64,64,64,30,8,0,1,4,wheeler[153-160],32.3093,9.32779
64,64,64,30,8,0,1,5,wheeler[161-168],31.21,8.16926
64,64,64,30,8,0,1,6,wheeler[018 025-027 090-093],27.3451,6.78886
64,64,64,30,8,0,1,7,wheeler[153-160],27.6493,8.18462
64,64,64,30,8,0,1,8,wheeler[161-168],31.7838,8.29703
64,64,64,30,8,0,2,2,wheeler[153-160],33.7323,13.4995
64,64,64,30,8,0,2,1,wheeler[018 025-027 090-093],35.7015,12.7071
64,64,64,30,8,0,2,3,wheeler[011-012 014-015 029 031 039 127],34.3477,10.966
64,64,64,30,8,0,2,4,wheeler[161-168],29.7003,12.7926
64,64,64,30,8,0,4,2,wheeler[153-160],30.3404,20.1125
64,64,64,30,8,0,7,1,wheeler[018 025-027 090-093],36.2446,29.5471
64,64,64,30,8,0,8,1,wheeler[011-012 014-015 029 031 039 127],36.8476,33.2718
64,64,64,30,9,0,1,5,wheeler[153-161],33.828,8.75463
64,64,64,30,9,0,1,6,wheeler[025-026 162-168],28.4818,8.68174
64,64,64,30,9,0,1,7,wheeler[011-012 014-015 018 090-093],31.9586,9.27152
64,64,64,30,9,0,1,8,wheeler[153-161],30.9024,9.58162
64,64,64,30,9,0,2,3,wheeler[025-026 162-168],29.5459,17.0077
64,64,64,30,9,0,2,4,wheeler[011-012 014-015 018 090-093],29.9471,14.2693
64,64,64,30,9,0,4,2,wheeler[025-026 162-168],33.8303,20.3475
64,64,64,30,9,0,3,2,wheeler[153-161],53.2943,12.0807
64,64,64,30,9,0,5,1,wheeler[011-012 014-015 018 090-093],32.3442,13.288
64,64,64,30,8,0,3,1,wheeler[153-160],35.9029,15.8638
64,64,64,30,8,0,3,2,wheeler[027 029 031 039 047 084 127 161],42.7763,10.7137
64,64,64,30,8,0,4,1,wheeler[011-012 014-015 090-093],35.7374,17.1002
64,64,64,30,9,0,6,1,wheeler[025-026 162-168],42.2127,12.2855
64,64,64,30,9,0,1,1,wheeler[011-012 014-015 090-093 127],31.0677,10.7633
64,64,64,30,9,0,1,2,wheeler[006 161-168],32.0648,10.5091
64,64,64,30,8,0,5,1,wheeler[153-160],40.4489,9.4727
64,64,64,30,8,0,6,1,wheeler[018 027 029 031 039 047 084-085],35.4793,12.9514
64,64,64,30,9,0,1,3,wheeler[011-012 014-015 090-093 127],31.5525,10.7036
64,64,64,30,9,0,1,4,wheeler[006 161-168],32.792,10.3195
64,64,64,30,9,0,2,1,wheeler[025 153-160],30.4592,13.9662
64,64,64,30,9,0,2,2,wheeler[018 026-027 029 031 039 047 084-085],33.6051,15.2405
64,64,64,30,9,0,3,1,wheeler[011-012 014-015 090-093 127],35.9053,17.8616
64,64,64,30,9,0,4,1,wheeler[006 161-168],35.8443,19.1937
64,64,64,30,9,0,7,1,wheeler[025 153-160],38.0335,31.7218
64,64,64,30,9,0,8,1,wheeler[018 026-027 029 031 039 047 084-085],36.7246,37.5391
64,64,64,30,10,0,1,1,wheeler[011-012 161-168],31.0112,11.9864
64,64,64,30,10,0,1,2,wheeler[014-015 153-160],34.1249,10.9927
64,64,64,30,10,0,1,7,wheeler[011-012 161-168],27.4779,10.2595
64,64,64,30,10,0,1,6,wheeler[006 025-027 084-085 090-093],30.2958,9.13484
64,64,64,30,10,0,1,8,wheeler[014-015 153-160],27.7373,10.1801
64,64,64,30,10,0,2,4,wheeler[006 025-027 084-085 090-093],31.1851,15.2263
64,64,64,30,10,0,2,3,wheeler[011-012 161-168],34.0533,13.8588
64,64,64,30,10,0,4,2,wheeler[014-015 153-160],31.2992,24.3809
64,64,64,30,10,0,7,1,wheeler[006 025-027 084-085 090-093],37.0856,36.0775
64,64,64,30,10,0,8,1,wheeler[011-012 161-168],31.468,24.5272
64,64,64,30,10,0,1,3,wheeler[014-015 153-160],31.9082,11.7663
64,64,64,30,10,0,1,4,wheeler[006 025-027 084-085 090-093],32.8244,11.4618
64,64,64,30,10,0,1,5,wheeler[011-012 161-168],26.5724,6.92458
64,64,64,30,10,0,2,1,wheeler[014-015 153-160],30.4384,15.5292
64,64,64,30,10,0,2,2,wheeler[006 025-027 084-085 090-093],33.6745,16.8946
64,64,64,30,10,0,3,1,wheeler[011-012 161-168],36.249,19.6718
64,64,64,30,10,0,4,1,wheeler[006 025-027 084-085 090-093],35.7312,21.3854
64,64,64,30,10,0,3,2,wheeler[014-015 153-160],86.4316,8.34968
64,64,64,30,10,0,5,1,wheeler[011-012 161-168],43.9088,10.9231
64,64,64,30,10,0,6,1,wheeler[006 025-027 084-085 090-093],30.1136,19.0321
