NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
16,16,16,30,1,0,1,1,wheeler041,24.6522,1.46011
48,48,48,30,1,0,1,1,wheeler116,30.3145,1.25489
64,64,64,30,1,0,1,1,wheeler169,29.838,1.2271
32,32,32,30,1,0,1,1,wheeler051,30.1619,1.28402
80,80,80,30,1,0,1,1,wheeler034,36.6263,1.22933
96,96,96,30,1,0,1,1,wheeler038,38.8154,1.20875
112,112,112,30,1,0,1,1,wheeler044,41.0289,1.21431
128,128,128,30,1,0,1,1,wheeler055,30.9273,1.20576
144,144,144,30,1,0,1,1,wheeler071,43.4244,1.22402
160,160,160,30,1,0,1,1,wheeler116,60.9875,1.19845
176,176,176,30,1,0,1,1,wheeler128,80.1291,1.21486
192,192,192,30,1,0,1,1,wheeler169,105.025,1.20455
208,208,208,30,1,0,1,1,wheeler041,133.458,1.20587
224,224,224,30,1,0,1,1,wheeler042,168.244,1.19613
240,240,240,30,1,0,1,1,wheeler051,206.383,1.19986
